Software,RP Name,Software Type,Software Class,Research Field,Research Area,Research Discipline,Software Description,Core Features,General Tags,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info,AI Description,Example Use
cppunit,Faster,Library,Testing Framework,Computer & Information Sciences,,,,"Supports Test Fixtures, Test Suites, Assertions, Test Runners, Output Validation","Unit Testing, C++",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.15.1,CppUnit is a C++ unit testing framework designed to assist in writing and running automated test suites for C++ code. It is based on the xUnit architecture and is similar in functionality to JUnit for Java.,
cppy,"Aces, Faster",Integration Tool,Software Library,Computer & Information Sciences,,,"A small C++ header library which makes it easier to write Python extension modules. The primary feature is a PyObject smart pointer which automatically handles reference counting and provides convenience methods for performing common object operations. 
Description Source: https://github.com/nucleic/cppy","Embed Python Interpreter In C++ Applications, Call Python Functions From C++ Code, Exchange Data Between C++ & Python Seamlessly","C++, Python, Embedded Python, Interoperability",https://github.com/nucleic/cppy,https://cppy.readthedocs.io/en/latest/,https://cppy.readthedocs.io/en/latest/installation.html#using-cppy-in-an-extensions,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.1.0, 1.2.1
Faster: 1.1.0, 1.2.1",C++ embedded Python library to seamlessly interact with C++ and Python code within the same application.,
cpu,Expanse,Component,Hardware,Computer & Information Sciences,,,,"1. Executes instructions from computer programs
2. Performs arithmetic and logic operations
3. Manages data and input/output operations
4. Controls other hardware components
5. Supports multitasking and multiprocessing","Hardware, Computing, Technology",,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: 0.15.4, 0.17.3B",CPU (Central Processing Unit) is a hardware component of a computer that executes instructions and performs calculations. It is considered the brain of the computer and is responsible for carrying out tasks and running applications.,
cramino,Anvil,Scientific Software,Simulation Software,Chemical Sciences,Chemical Sciences,Physical Sciences,"Cramino is a tool for quick quality assessment of cram and bam files, intended for long read sequencing.","Molecular dynamics simulations, Quantum chemistry calculations, Energy minimization, Molecular visualization, Trajectory analysis","Computational Chemistry, Molecular Dynamics, Quantum Chemistry",,,,Anvil: https://www.rcac.purdue.edu/software/cramino,Anvil: 0.9.6,Cramino is a software tool designed for computational chemistry simulations and molecular dynamics studies.,
cray,Delta,Hpc Tool,Computational Software,Computer & Information Sciences,,,,"1. High-performance computing capabilities
2. Scalability to handle massive workloads
3. Advanced parallel processing architecture
4. Support for various scientific and engineering applications
5. Efficient use of compute resources","Supercomputing, High-Performance Computing, Scientific Computing",,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,,Cray is a supercomputing company well-known for its high-performance computing systems and solutions. Cray supercomputers are designed to handle complex computational tasks and large-scale scientific simulations.,
crisprcasfinder,Anvil,Genome Analysis Tool,Bioinformatics Tool,Biological Sciences,Bioinformatics,Genetics,"Crisprcasfinder is an updated, improved, and integrated version of CRISPRFinder and CasFinder.",1. Detection of CRISPR arrays in bacterial and archaeal genomes. 2. Identification of Cas proteins associated with CRISPR loci. 3. Prediction of potential CRISPR-Cas systems configurations. 4. Visualization of CRISPR arrays and Cas proteins in genomic context.,"Genome Analysis, Crispr-Cas Systems, Prokaryotic Genomes",,,,Anvil: https://www.rcac.purdue.edu/software/crisprcasfinder,Anvil: 4.2.20,CRISPRCasFinder is a tool for the identification of CRISPR arrays and Cas proteins in prokaryotic genomes. It uses a combination of CRISPR technology and Cas protein identification to accurately identify CRISPR-Cas systems in bacterial and archaeal genomes.,
crispresso2,Anvil,Analysis Tool,Bioinformatics,Biological Sciences,"Molecular Biology, Genetics","Biochemistry & Molecular Biology, Genetics",CRISPResso2 is a software pipeline designed to enable rapid and intuitive interpretation of genome editing experiments.,"Quantification Of Editing Efficiency, Visualization Of Editing Patterns, Assessment Of Indel Formation & Repair Mechanisms, Identification Of Off-Target Effects","Crispr, Genome Editing, Sequencing Data Analysis",,,,Anvil: https://www.rcac.purdue.edu/software/crispresso2,"Anvil: 2.2.8, 2.2.9, 2.2.10, 2.2.11A","CRISPResso2 is a software tool for the analysis of CRISPR-Cas9 genome editing outcomes from deep sequencing data. It provides researchers with a comprehensive and user-friendly platform to quantify editing efficiency, visualize editing patterns, and assess indel formation and repair mechanisms.",
crispritz,Anvil,Web-Based Tool,Bioinformatics Tool,Biological Sciences,,,Crispritz is a software package containing 5 different tools dedicated to perform predictive analysis and result assessement on CRISPR/Cas experiments.,"Guide RNA Design For Gene Knockout, Guide RNA Design For Gene Editing, Guide RNA Design For Transcriptional Activation, High Specificity & Efficiency, Web-Based Interface","Crispr/Cas9, Guide RNA Design, Genome Editing, Molecular Biology",,,,Anvil: https://www.rcac.purdue.edu/software/crispritz,Anvil: 2.6.5,"CRISPRitz is a web-based software tool for designing and analyzing CRISPR/Cas9 guide RNAs. It allows users to design guide RNAs for gene knockout, gene editing, and transcriptional activation with high specificity and efficiency.",
cross_match,Anvil,Matching Tool,Data Processing,Physical Sciences,Astronomy,Astronomy & Planetary Sciences,cross_match is a general purpose utility for comparing any two DNA sequence sets using a 'banded' version of swat.,"Alignment Of Two Lists Of Objects, Identification Of Matching Entries, Astronomical Applications, Handling Of Astronomical Catalog Data","Alignment, Astronomy, Cataloging, Data Processing",,,,Anvil: https://www.rcac.purdue.edu/software/cross_match,Anvil: 1.090518,"Cross_Match is a software package used for aligning two lists of objects, usually representing detected sources or astronomical catalogs, in order to identify matching or related entries.",
crossmap,Anvil,Bioinformatics Tool,Utility Tool,Biological Sciences,Genome Assembly & Annotation,Genomics,Crossmap is a program for genome coordinates conversion between different assemblies.,"Conversion Of Genome Coordinates Between Different Assemblies, Mapping Of Genomic Annotations & Features, User-Friendly Interface","Genome Assembly, Genomics, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/crossmap,Anvil: 0.6.3,"CrossMap is a versatile tool for genome coordinates conversion between different assemblies. It provides a unified and user-friendly interface for mapping features such as genomic intervals, gene coordinates, and other genomic annotations between various genome assemblies.",
cryosparc,"Aces, Darwin",Cryo-Em Software,Data Processing,Biological Sciences,Structural Biology,Biophysics,,"Automated Particle Picking, 3D Heterogeneity Analysis, Ab-Initio 3D Reconstruction, High-Resolution Refinement, Model Building & Validation","Cryo-Em, Biological Macromolecules, Structural Biology, Data Processing",,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 4.2.1,CryoSPARC is a comprehensive software platform for cryo-EM data processing that enables high-resolution structure determination of biological macromolecules.,
cryptography,"Aces, Faster",Software,Tools,Computer & Information Sciences,,,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,"Encryption, decryption, secure communication, digital signatures, authentication, key generation","Security, Privacy, Encryption, Decryption",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 41.0.1, 41.0.4, 41.0.5
Faster: 41.0.1",Cryptography is the practice and study of techniques for secure communication in the presence of third parties. It involves creating and analyzing protocols that prevent third parties or the public from reading private messages.,
cryptsetup,Kyric,System Software,Utility,Computer & Information Sciences,,,,"Disk Encryption Setup, Luks Support, Cryptographic Volume Management, Interaction With Encrypted Volumes","Disk Encryption, Data Security, Cryptography, Linux",https://github.com/grahamgilbert/crypt,https://github.com/grahamgilbert/crypt/blob/master/README.md,https://github.com/grahamgilbert/crypt/blob/master/Example%20Crypt%20Profile.mobileconfig,,,"cryptsetup is a utility used to conveniently set up disk encryption based on the Dm-crypt kernel module. It allows users to easily configure encrypted block devices using LUKS (Linux Unified Key Setup), manage cryptographic volumes, and interact with encrypted volumes.",
